Echelon,Storage Room, Commodity, Quantity
10,SC2-5,6 X 18 TABLES,19
10,SC2-5,6 X 30 TABLES,9
10,SC2-5,66 ROUND TABLES,12
10,SC2-5,8 X 18 TABLES,29
10,SC2-5,8 X 30 TABLES,14
10,SC2-5,MEETING ROOM CHAIRS,36
10,SC2-5,PODIUM,2
10,SC2-5,SETS OF STAGE STEPS,1
10,SC3-3,16 RISERS 6 X 8,14
10,SC3-3,30 COCKTAIL ROUNDS,36
10,SC3-3,30 STAND UP ROUNDS,12
10,SC3-3,6 X 18 TABLES,10
10,SC3-3,6 X 30 TABLES,11
10,SC3-3,66 ROUND TABLES,14
10,SC3-3,8 X 18 TABLES,16
10,SC3-3,8 X 30 TABLES,42
10,SC3-3,MEETING ROOM CHAIRS,1317
10,SC3-3,PODIUM,3
10,SC3-3,SETS OF STAGE STEPS,26
